date,symbol,side,qty,entry,exit,pnl,strategy,notes
2026-02-02T13:31:04.000Z,INTC,LONG,800,32,32.36,288,Trend Following,
2026-02-02T13:59:11.000Z,ORCL,SHORT,56,165.43,165.93,-28,Breakout,Pre-market gap up clean breakout
2026-02-02T14:04:21.000Z,IWM,SHORT,193,240.38,242.39,-387.93,Mean Reversion,VWAP reversion
2026-02-02T14:13:31.000Z,QQQ,LONG,79,549.29,545.22,-321.53,Mean Reversion,VWAP reversion
2026-02-02T14:23:14.000Z,COIN,SHORT,141,258.71,264.31,-789.6,Breakout,
2026-02-02T14:27:32.000Z,MARA,LONG,874,21.94,21.62,-279.68,Earnings,Earnings miss reversal
2026-02-02T14:38:08.000Z,UBER,SHORT,122,78.08,76.43,201.3,Trend Following,
2026-02-02T14:54:35.000Z,AVGO,LONG,35,194.47,197.84,117.95,Scalp,Opening drive scalp
2026-02-02T15:00:44.000Z,COIN,LONG,129,259.66,254.76,-632.1,Mean Reversion,Squeezed out early
2026-02-02T15:05:52.000Z,UBER,LONG,359,78.01,78.5,175.91,Breakout,
2026-02-02T15:08:58.000Z,UNH,LONG,10,510.15,516.66,65.1,Mean Reversion,
2026-02-02T15:37:17.000Z,SHOP,LONG,277,95.09,96.25,321.32,Earnings,
2026-02-02T16:05:05.000Z,DIS,LONG,373,102.28,101.08,-447.6,Scalp,
2026-02-02T16:19:58.000Z,AAPL,SHORT,106,240.9,239.91,104.94,Scalp,Opening drive scalp
2026-02-02T16:28:43.000Z,UNH,SHORT,31,511.83,518.19,-197.16,Breakout,Bull flag continuation
2026-02-02T16:45:26.000Z,MARA,LONG,922,22.03,21.45,-534.76,Trend Following,Trend continuation
2026-02-02T18:05:37.000Z,JNJ,SHORT,160,157.71,156.78,148.8,Earnings,Post-earnings IV crush play
2026-02-02T18:17:46.000Z,SPY,LONG,32,609.86,607.98,-60.16,Scalp,Quick scalp
2026-02-02T18:24:56.000Z,UNH,SHORT,67,507.93,511.53,-241.2,Breakout,Cup & handle breakout
2026-02-02T18:38:48.000Z,MSFT,LONG,52,469.6,476.04,334.88,Scalp,Power-hour scalp
2026-02-02T18:43:16.000Z,AMD,LONG,180,150.49,148.35,-385.2,Scalp,Opening drive scalp
2026-02-02T19:23:18.000Z,NFLX,SHORT,77,703.47,708.06,-353.43,Scalp,Counter-trend fade scalp
2026-02-02T19:32:36.000Z,META,LONG,29,643.04,634.4,-250.56,Mean Reversion,
2026-02-03T13:44:42.000Z,AMZN,SHORT,161,210.11,207.23,463.68,Earnings,Earnings drift continuation
2026-02-03T13:56:24.000Z,AAPL,LONG,64,241.18,239.94,-79.36,Breakout,
2026-02-03T14:19:58.000Z,UBER,LONG,251,77.42,78.82,351.4,Mean Reversion,Fade gap up
2026-02-03T14:21:16.000Z,JNJ,LONG,30,158.43,158.05,-11.4,Mean Reversion,
2026-02-03T14:41:02.000Z,UNH,SHORT,60,507.66,503.02,278.4,Earnings,Earnings miss reversal
2026-02-03T14:41:37.000Z,IWM,SHORT,198,240.33,242.72,-473.22,Trend Following,VWAP reclaim long
2026-02-03T14:43:31.000Z,UNH,LONG,41,508.52,514.28,236.16,Earnings,Post-earnings IV crush play
2026-02-03T15:11:22.000Z,XOM,LONG,311,117.95,116.63,-410.52,Trend Following,20EMA trend long
2026-02-03T15:28:23.000Z,QQQ,LONG,33,547.22,544.44,-91.74,Trend Following,Tech rotation long
2026-02-03T16:02:49.000Z,BA,LONG,31,194.82,199.47,144.15,Scalp,Power-hour scalp
2026-02-03T16:04:02.000Z,XOM,LONG,363,117.94,116.75,-431.97,Mean Reversion,Oversold bounce
2026-02-03T16:40:26.000Z,IWM,LONG,194,240.17,238.31,-360.84,Scalp,Quick scalp
2026-02-03T16:50:57.000Z,MARA,SHORT,416,21.79,20.92,361.92,Trend Following,Tech rotation long
2026-02-03T17:29:47.000Z,MSFT,SHORT,47,472.67,476.17,-164.5,Breakout,Cup & handle breakout
2026-02-03T17:32:57.000Z,BAC,SHORT,711,47.32,46.68,455.04,Mean Reversion,
2026-02-03T17:39:10.000Z,PLTR,LONG,415,27.86,27.56,-124.5,Trend Following,Tech rotation long
