date,entry_time,exit_time,symbol,side,qty,entry,exit,pnl,strategy,notes
2026-03-02T14:30:00.000Z,2026-03-02T14:30:00.000Z,2026-03-02T15:15:00.000Z,NVDA,LONG,164,176.78,180.76,652.72,Scalp,Power-hour scalp
2026-03-02T14:30:00.000Z,2026-03-02T14:30:00.000Z,2026-03-02T14:55:00.000Z,TSLA,SHORT,103,391.72,395.88,-428.48,Earnings,
2026-03-02T14:30:00.000Z,2026-03-02T14:30:00.000Z,2026-03-02T14:40:00.000Z,NFLX,LONG,131,96.06,96.14,10.48,Scalp,Power-hour scalp
2026-03-02T14:35:00.000Z,2026-03-02T14:35:00.000Z,2026-03-02T15:00:00.000Z,SPY,SHORT,51,681.14,683.41,-115.77,Breakout,
2026-03-02T14:35:00.000Z,2026-03-02T14:35:00.000Z,2026-03-02T15:00:00.000Z,QQQ,LONG,14,603.01,604.68,23.38,Breakout,
2026-03-02T14:35:00.000Z,2026-03-02T14:35:00.000Z,2026-03-02T15:25:00.000Z,GOOGL,SHORT,69,304.17,304.77,-41.4,Mean Reversion,Oversold bounce
2026-03-02T14:35:00.000Z,2026-03-02T14:35:00.000Z,2026-03-02T15:25:00.000Z,AMD,SHORT,58,193.28,194.05,-44.66,Mean Reversion,VWAP reversion long
2026-03-02T14:35:00.000Z,2026-03-02T14:35:00.000Z,2026-03-02T14:40:00.000Z,COST,LONG,42,1014.58,1011.37,-134.82,Mean Reversion,
2026-03-02T14:40:00.000Z,2026-03-02T14:40:00.000Z,2026-03-02T15:00:00.000Z,QQQ,SHORT,40,603.23,604.4,-46.8,Trend Following,Trend continuation
2026-03-02T14:45:00.000Z,2026-03-02T14:45:00.000Z,2026-03-02T15:30:00.000Z,GS,SHORT,19,862.16,862.28,-2.28,Trend Following,Stopped below trend line
2026-03-02T14:45:00.000Z,2026-03-02T14:45:00.000Z,2026-03-02T14:50:00.000Z,BAC,LONG,884,49.51,49.47,-35.36,Scalp,Opening drive scalp
2026-03-02T14:45:00.000Z,2026-03-02T14:45:00.000Z,2026-03-02T15:10:00.000Z,CVX,SHORT,37,187.59,189.82,-82.51,Trend Following,
2026-03-02T14:45:00.000Z,2026-03-02T14:45:00.000Z,2026-03-02T14:55:00.000Z,NFLX,LONG,115,96.19,96.77,66.7,Mean Reversion,VWAP reversion long
2026-03-02T14:45:00.000Z,2026-03-02T14:45:00.000Z,2026-03-02T15:10:00.000Z,AVGO,SHORT,172,315.4,315.06,58.48,Scalp,Opening drive scalp
2026-03-02T14:45:00.000Z,2026-03-02T14:45:00.000Z,2026-03-02T15:00:00.000Z,DIA,SHORT,34,486.8,488.02,-41.48,Mean Reversion,VWAP reversion long
2026-03-02T14:50:00.000Z,2026-03-02T14:50:00.000Z,2026-03-02T15:35:00.000Z,META,LONG,85,648.09,650.64,216.75,Mean Reversion,Fade gap up
2026-03-02T14:50:00.000Z,2026-03-02T14:50:00.000Z,2026-03-02T15:05:00.000Z,AMD,SHORT,186,194.74,195.4,-122.76,Breakout,Bull flag continuation
2026-03-02T14:50:00.000Z,2026-03-02T14:50:00.000Z,2026-03-02T15:40:00.000Z,CVX,LONG,45,188.36,189.07,31.95,Scalp,
2026-03-02T14:50:00.000Z,2026-03-02T14:50:00.000Z,2026-03-02T14:55:00.000Z,XLF,LONG,261,50.95,50.98,7.83,Breakout,
2026-03-02T14:50:00.000Z,2026-03-02T14:50:00.000Z,2026-03-02T15:20:00.000Z,TSLA,LONG,42,396.36,398.43,86.94,Earnings,
2026-03-02T14:55:00.000Z,2026-03-02T14:55:00.000Z,2026-03-02T15:50:00.000Z,DIA,LONG,62,487.08,487.71,39.06,Breakout,ATH breakout retest
2026-03-02T14:55:00.000Z,2026-03-02T14:55:00.000Z,2026-03-02T15:00:00.000Z,NVDA,LONG,117,179.55,179.84,33.93,Earnings,
2026-03-02T14:55:00.000Z,2026-03-02T14:55:00.000Z,2026-03-02T15:05:00.000Z,BAC,SHORT,566,49.52,49.76,-135.84,Scalp,
2026-03-02T14:55:00.000Z,2026-03-02T14:55:00.000Z,2026-03-02T15:45:00.000Z,INTC,LONG,610,45.02,44.67,-213.5,Mean Reversion,
2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:40:00.000Z,TSLA,LONG,104,396.07,400.79,490.88,Trend Following,Stopped below trend line
2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:10:00.000Z,CVX,SHORT,198,189.73,189.82,-17.82,Mean Reversion,Squeezed out early
2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:45:00.000Z,INTC,LONG,265,44.83,44.71,-31.8,Mean Reversion,VWAP reversion long
2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:40:00.000Z,INTC,LONG,510,44.86,44.63,-117.3,Scalp,Quick momentum scalp
2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:20:00.000Z,GOOGL,LONG,35,304.7,304.89,6.65,Earnings,Post-earnings IV crush
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T16:05:00.000Z,SPY,LONG,12,684.24,684.9,7.92,Mean Reversion,Oversold bounce
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:55:00.000Z,IWM,LONG,37,261.08,261.63,20.35,Earnings,
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:45:00.000Z,ADBE,SHORT,82,258.69,260.85,-177.12,Scalp,Opening drive scalp
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:25:00.000Z,QQQ,SHORT,69,604.98,605.2,-15.18,Trend Following,
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:40:00.000Z,QQQ,SHORT,82,605.05,605.66,-50.02,Trend Following,VWAP reclaim long
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:55:00.000Z,AVGO,LONG,125,314.94,314.6,-42.5,Mean Reversion,Fade gap up
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:30:00.000Z,META,LONG,64,647.38,651.16,241.92,Breakout,Bull flag continuation
2026-03-02T15:05:00.000Z,2026-03-02T15:05:00.000Z,2026-03-02T15:45:00.000Z,ORCL,SHORT,124,145.87,148.87,-372,Scalp,Power-hour scalp
2026-03-02T15:10:00.000Z,2026-03-02T15:10:00.000Z,2026-03-02T15:50:00.000Z,WMT,LONG,236,127.88,127.69,-44.84,Scalp,
2026-03-02T15:10:00.000Z,2026-03-02T15:10:00.000Z,2026-03-02T16:05:00.000Z,QQQ,SHORT,41,605.46,606.73,-52.07,Scalp,Quick momentum scalp
2026-03-02T15:10:00.000Z,2026-03-02T15:10:00.000Z,2026-03-02T15:20:00.000Z,AVGO,LONG,196,315.06,315.01,-9.8,Trend Following,Stopped below trend line
2026-03-02T15:15:00.000Z,2026-03-02T15:15:00.000Z,2026-03-02T15:40:00.000Z,AMD,LONG,46,195,194.79,-9.66,Breakout,
2026-03-02T15:15:00.000Z,2026-03-02T15:15:00.000Z,2026-03-02T15:50:00.000Z,META,LONG,81,650.86,653.31,198.45,Mean Reversion,Fade gap up
2026-03-02T15:15:00.000Z,2026-03-02T15:15:00.000Z,2026-03-02T16:05:00.000Z,CVX,SHORT,85,189.86,188.89,82.45,Mean Reversion,Squeezed out early
2026-03-02T15:15:00.000Z,2026-03-02T15:15:00.000Z,2026-03-02T16:00:00.000Z,AVGO,LONG,47,315.05,314.66,-18.33,Scalp,Opening drive scalp
2026-03-02T15:20:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T16:00:00.000Z,V,LONG,38,318.86,319.1,9.12,Breakout,
2026-03-02T15:20:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T16:05:00.000Z,GS,LONG,84,863.54,867.84,361.2,Trend Following,
2026-03-02T15:20:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T16:20:00.000Z,XOM,LONG,199,154.9,154.28,-123.38,Scalp,Power-hour scalp
2026-03-02T15:20:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T15:25:00.000Z,MA,SHORT,71,517.5,517.55,-3.55,Mean Reversion,Fade gap up
2026-03-02T15:25:00.000Z,2026-03-02T15:25:00.000Z,2026-03-02T15:55:00.000Z,MSFT,SHORT,187,398.88,399.24,-67.32,Scalp,
2026-03-02T15:30:00.000Z,2026-03-02T15:30:00.000Z,2026-03-02T16:10:00.000Z,CRM,SHORT,173,192.68,192.51,29.41,Earnings,Earnings drift
2026-03-02T15:30:00.000Z,2026-03-02T15:30:00.000Z,2026-03-02T16:10:00.000Z,COST,LONG,11,1011.62,1007.72,-42.9,Earnings,
2026-03-02T15:30:00.000Z,2026-03-02T15:30:00.000Z,2026-03-02T16:20:00.000Z,ORCL,LONG,225,147.37,147.42,11.25,Mean Reversion,
2026-03-02T15:30:00.000Z,2026-03-02T15:30:00.000Z,2026-03-02T15:50:00.000Z,XOM,LONG,178,153.72,153.9,32.04,Scalp,
2026-03-02T15:35:00.000Z,2026-03-02T15:35:00.000Z,2026-03-02T16:35:00.000Z,WMT,SHORT,329,128.06,127.69,121.73,Trend Following,VWAP reclaim long
2026-03-02T15:35:00.000Z,2026-03-02T15:35:00.000Z,2026-03-02T16:25:00.000Z,MA,LONG,27,515.57,515.16,-11.07,Scalp,Opening drive scalp
2026-03-02T15:40:00.000Z,2026-03-02T15:40:00.000Z,2026-03-02T16:40:00.000Z,DIA,LONG,44,488.06,488.73,29.48,Trend Following,Stopped below trend line
2026-03-02T15:40:00.000Z,2026-03-02T15:40:00.000Z,2026-03-02T15:45:00.000Z,BAC,LONG,674,49.8,49.82,13.48,Breakout,
2026-03-02T15:45:00.000Z,2026-03-02T15:45:00.000Z,2026-03-02T16:35:00.000Z,TSLA,SHORT,99,401.2,401.73,-52.47,Earnings,Post-earnings IV crush
2026-03-02T15:45:00.000Z,2026-03-02T15:45:00.000Z,2026-03-02T16:10:00.000Z,NFLX,SHORT,352,96.92,96.8,42.24,Trend Following,
2026-03-02T15:45:00.000Z,2026-03-02T15:45:00.000Z,2026-03-02T16:30:00.000Z,AVGO,LONG,49,315.31,314.51,-39.2,Scalp,Opening drive scalp
2026-03-02T15:45:00.000Z,2026-03-02T15:45:00.000Z,2026-03-02T16:05:00.000Z,TSLA,LONG,11,401.29,402.94,18.15,Breakout,
2026-03-02T15:45:00.000Z,2026-03-02T15:45:00.000Z,2026-03-02T15:50:00.000Z,NVDA,LONG,116,181.1,181,-11.6,Scalp,
